mapa,semente,padrao,nivel,n_pivos,n_instancias,exp_orig,exp_deg_fresco,exp_deg_congelado,delta_fresco,delta_congelado
brc000d,123,Radial,0.3,10,339,385.3599,1096.8997,3057.1917,2.8464,7.9333
brc000d,123,Radial,0.3,20,339,237.5015,407.2655,2956.9322,1.7148,12.4502
brc000d,123,Radial,0.3,50,339,14711.059,10214.3422,10214.3422,0.6943,0.6943
brc000d,123,Radial,0.3,100,339,175.5487,230.6962,2892.5516,1.3141,16.4772
brc000d,123,Linear,0.1,10,12,13.6667,84.1667,25.0,6.1585,1.8293
brc000d,123,Linear,0.1,20,12,13.3333,39.9167,25.0,2.9937,1.875
brc000d,123,Linear,0.1,50,12,115.8333,167.1667,167.1667,1.4432,1.4432
brc000d,123,Linear,0.1,100,12,8.4167,10.3333,20.3333,1.2277,2.4158
brc000d,123,Linear,0.2,10,12,13.6667,101.3333,21.75,7.4146,1.5915
brc000d,123,Linear,0.2,20,12,13.3333,47.5833,21.75,3.5688,1.6313
brc000d,123,Linear,0.2,50,12,115.8333,102.4167,102.4167,0.8842,0.8842
brc000d,123,Linear,0.2,100,12,8.4167,24.25,17.1667,2.8812,2.0396
brc000d,123,Linear,0.3,10,12,13.6667,87.9167,18.5833,6.4329,1.3598
brc000d,123,Linear,0.3,20,12,13.3333,36.25,18.5833,2.7188,1.3938
brc000d,123,Linear,0.3,50,12,115.8333,89.0833,89.0833,0.7691,0.7691
brc000d,123,Linear,0.3,100,12,8.4167,28.4167,14.0833,3.3762,1.6733
brc000d,123,Sparse,0.1,10,52,137.0192,154.0192,296.8654,1.1241,2.1666
brc000d,123,Sparse,0.1,20,52,109.4808,129.5577,274.2308,1.1834,2.5048
brc000d,123,Sparse,0.1,50,52,6622.5577,5233.8654,5233.8654,0.7903,0.7903
brc000d,123,Sparse,0.1,100,52,91.7885,95.4231,247.7692,1.0396,2.6994
brc000d,123,Sparse,0.2,10,52,137.0192,382.1923,456.7115,2.7893,3.3332
brc000d,123,Sparse,0.2,20,52,109.4808,256.6154,433.1154,2.3439,3.9561
brc000d,123,Sparse,0.2,50,52,6622.5577,4042.5,4042.5,0.6104,0.6104
brc000d,123,Sparse,0.2,100,52,91.7885,109.2885,413.7692,1.1907,4.5079
brc000d,123,Sparse,0.3,10,52,137.0192,793.5577,739.7692,5.7916,5.399
brc000d,123,Sparse,0.3,20,52,109.4808,464.6154,730.0385,4.2438,6.6682
brc000d,123,Sparse,0.3,50,52,6622.5577,2615.3654,2615.3654,0.3949,0.3949
brc000d,123,Sparse,0.3,100,52,91.7885,143.25,722.9423,1.5607,7.8762
brc000d,123,Organic,0.1,10,77,277.1948,283.1948,908.7662,1.0216,3.2784
brc000d,123,Organic,0.1,20,77,172.4286,161.6234,833.7922,0.9373,4.8356
brc000d,123,Organic,0.1,50,77,9359.9091,7936.5065,7936.5065,0.8479,0.8479
brc000d,123,Organic,0.1,100,77,128.0909,135.0779,801.2727,1.0545,6.2555
brc000d,123,Organic,0.2,10,77,277.1948,521.2078,1578.2857,1.8803,5.6938
brc000d,123,Organic,0.2,20,77,172.4286,214.6753,1517.6104,1.245,8.8014
brc000d,123,Organic,0.2,50,77,9359.9091,5334.2987,5334.2987,0.5699,0.5699
brc000d,123,Organic,0.2,100,77,128.0909,146.1818,1499.7013,1.1412,11.7081
brc000d,123,Organic,0.3,10,77,277.1948,865.987,1384.8182,3.1241,4.9958
brc000d,123,Organic,0.3,20,77,172.4286,491.6364,1328.974,2.8512,7.7074
brc000d,123,Organic,0.3,50,77,9359.9091,3643.013,3643.013,0.3892,0.3892
brc000d,123,Organic,0.3,100,77,128.0909,163.0649,1313.7922,1.273,10.2567
brc000d,123,Stochastic,0.1,10,349,399.8453,578.4069,1302.0888,1.4466,3.2565
brc000d,123,Stochastic,0.1,20,349,320.4097,425.7479,1202.3926,1.3288,3.7527
brc000d,123,Stochastic,0.1,50,349,16419.3897,14750.6676,14750.7994,0.8984,0.8984
brc000d,123,Stochastic,0.1,100,349,219.212,249.4642,1127.3352,1.138,5.1427
brc000d,123,Stochastic,0.2,10,349,399.8453,683.9284,2292.0917,1.7105,5.7324
brc000d,123,Stochastic,0.2,20,349,320.4097,536.3438,2225.8854,1.6739,6.947
brc000d,123,Stochastic,0.2,50,349,16419.3897,12997.9771,12998.2693,0.7916,0.7916
brc000d,123,Stochastic,0.2,100,349,219.212,329.1203,2156.1261,1.5014,9.8358
brc000d,123,Stochastic,0.3,10,349,399.8453,1426.2407,4415.6476,3.567,11.0434
brc000d,123,Stochastic,0.3,20,349,320.4097,1234.5731,4361.5759,3.8531,13.6125
brc000d,123,Stochastic,0.3,50,349,16419.3897,10893.5673,10894.2092,0.6635,0.6635
brc000d,123,Stochastic,0.3,100,349,219.212,449.4613,4318.6791,2.0503,19.7009
