mapa,semente,n_pivos,tempo_precomp_ms,n_pivos_gerados,pivos_fora_maior_comp,primeiro_pivo_fora,frac_consultas_h_zero,h_medio
brc101d,789,10,21.598918,10,0,0,0.000637,379.281529
brc101d,789,20,21.428068,20,0,0,0.000637,379.924841
brc101d,789,50,63.087939,50,0,0,0.000000,380.634395
brc101d,789,100,179.021714,100,0,0,0.000000,380.974522
brc101d,1011,10,21.204591,10,0,0,0.000637,379.277707
brc101d,1011,20,21.314306,20,0,0,0.000637,379.208917
brc101d,1011,50,62.991268,50,0,0,0.000000,380.621656
brc101d,1011,100,177.965119,100,0,0,0.000000,381.049682
brc201d,42,10,16.080553,10,0,0,0.002871,493.802392
brc201d,42,20,7.038595,20,4,1,0.002871,485.896172
brc201d,42,50,15.250012,50,50,1,1.000000,0.000000
brc201d,42,100,111.253578,100,0,0,0.002871,495.409091
brc201d,123,10,7.996565,10,10,1,1.000000,0.000000
brc201d,123,20,14.801293,20,0,0,0.002871,495.091388
brc201d,123,50,39.354011,50,0,0,0.002871,495.366986
brc201d,123,100,111.819446,100,0,0,0.002871,495.421531
brc201d,456,10,8.118363,10,10,1,0.999043,0.010048
brc201d,456,20,15.284737,20,0,0,0.002871,494.863636
brc201d,456,50,15.361821,50,50,1,1.000000,0.000000
brc201d,456,100,111.125118,100,0,0,0.002871,495.420574
brc201d,789,10,12.712429,10,0,0,0.002871,493.840670
brc201d,789,20,14.930986,20,0,0,0.002871,495.143062
brc201d,789,50,15.307178,50,50,1,1.000000,0.000000
brc201d,789,100,111.672582,100,0,0,0.002871,495.428230
brc201d,1011,10,12.813508,10,0,0,0.002871,493.786124
brc201d,1011,20,15.390825,20,0,0,0.002871,495.099043
brc201d,1011,50,39.097361,50,0,0,0.002871,495.339234
brc201d,1011,100,112.110871,100,0,0,0.002871,495.432057
brc202d,42,10,19.823369,10,0,0,0.000392,544.707843
brc202d,42,20,29.476411,20,0,0,0.000392,548.238039
