faixa,n,media,mediana,p95,frac_otimo
1-25,4560,1.005689385964912,1.0,1.0,0.9714912280701754
26-50,4505,1.0145968479467258,1.0,1.09302,0.881243063263041
51-100,8905,1.0458699943851768,1.0,1.21622,0.6142616507580011
101-200,17525,1.0892093124108415,1.04255,1.34109,0.26276747503566333
201-400,34620,1.1423892764298094,1.096,1.4252,0.07091276718659734
>400,45890,1.1576254118544345,1.13279,1.3618419999999998,0.011113532359991284
