config,fonte,n_instancias,exp,std,speedup,rel_exp,rel_spd,confere
Manhattan,base.csv,116700,7472.949357326479,1.016845989170083e-12,1.0,7472.95,1.0,True
Fórmula,base.csv,116700,2412.694858611825,0.0,3.097345414673008,2412.69,3.1,True
Memória-10,robustez.csv,23906,441.5290838550356,62.65425587169254,17.249196527133982,441.53,17.25,True
Memória-20,robustez.csv,23906,251.45958873804426,55.055042644093426,30.778734960099097,251.46,30.78,True
Memória-50,robustez.csv,21361,280.7061500704018,138.4367126193099,33.501470759059885,280.71,33.5,True
Memória-100,robustez.csv,23906,145.19828345595838,16.455168685081603,51.98296834626687,145.2,51.98,True
