,sum_sq,df,F,PR(>F),eta2_parcial,eta2_total
C(estrategia),400.92549144145136,5.0,1475.2963479740802,0.0,0.49438629854416966,0.28477229124034786
C(padrao),147.2560679489174,4.0,677.3276578180179,0.0,0.26423764271891004,0.10459411727124217
C(nivel),183.31582347959198,2.0,1686.380453965206,0.0,0.30895253055146527,0.13020690424349832
C(mapa),35.729687122907364,16.0,41.08609178320003,6.399259487256318e-124,0.08015451929307814,0.025378343568799866
C(estrategia):C(padrao),129.87519297363565,20.0,119.47631291637033,0.0,0.24055166274154005,0.09224870223495277
C(estrategia):C(nivel),37.14377663217383,10.0,68.33947851307104,3.5806476154381623e-134,0.08306332721091775,0.026382753410950192
C(padrao):C(nivel),38.70469204481508,8.0,89.01418724006817,9.977117907799277e-142,0.08625287165685214,0.027491451829930954
C(estrategia):C(padrao):C(nivel),24.899824545526087,40.0,11.453069523322666,5.626691932757803e-70,0.057250156424055475,0.017686029545835476
Residual,410.0304202051002,7544.0,,,0.5,0.29123940665444237
