mapa,Manhattan,Fórmula,Memória-10,Memória-20,Memória-50,Memória-100
arena,0.04485763233678091,0.041905935523729766,0.04432663295710791,0.04374101772029779,0.042913346582414344,0.0423130099165634
arena2,0.14037383332063,0.04193640691846776,0.028727560810831696,0.02115795528291191,0.0168247315686349,0.015993102626767796
brc000d,0.07799422330802547,0.025793749620907868,0.022580298020165465,0.018835932561721735,0.08276381162948797,0.014966884381945794
brc100d,0.24065701023902908,0.08903152065568537,0.032722069326084596,0.02598686478077552,0.021475884662930076,0.020343421548205485
brc101d,0.20752406631440998,0.03582118499796949,0.03909678458334683,0.03353738451152937,0.026403484008083292,0.024225538840406798
brc201d,0.30017709793614133,0.1186910132479704,0.16065210279384523,0.0437879579437759,0.26930835022721755,0.03636338160546672
brc202d,0.2896490152477443,0.11666127507981186,0.04503909865210582,0.0340729489857218,0.02584284747970006,0.02363686020397742
brc203d,0.19597068425161657,0.04186045756427188,0.04613180845338602,0.03642028468440118,0.027415711870061317,0.024875728665047527
den000d,0.1572419155702342,0.0408301726779645,0.02585695343688421,0.018822971203043968,0.013187149066628122,0.011880733031455759
den005d,0.31959360571335105,0.11419873272256544,0.0668552128028185,0.04374753960443302,0.03536295509356359,0.031026447078148407
den011d,0.15421444550760194,0.06309087313337196,0.03738707304397925,0.032083563767738126,0.026344858818628508,0.02491063078214756
den012d,0.1327164279917133,0.054472317209681945,0.032692321628901504,0.02677956121537795,0.022803752426987865,0.021836334374689133
den500d,0.21046666178736692,0.09844408512017216,0.05107486903942341,0.03254578587585583,0.025246268041887315,0.022229087609710325
den501d,0.18977709907415807,0.07569262151997828,0.03831801561970082,0.02812300209175857,0.022378748722232493,0.02093479740132058
den602d,0.3167192281790974,0.07124203107138927,0.04425787945653075,0.0360646208825377,0.030711485515065102,0.02876012365899057
hrt201n,0.2006212683755143,0.09376775347967757,0.04474407859518656,0.033519297146345634,0.025729667851762405,0.023720687358452314
lak506d,0.3815171262993992,0.1568575041392801,0.053229359355349205,0.04458150388667473,0.038119251811661134,0.03622050478460942
