config,mediana,p90,p99,max,media,p99/mediana
Manhattan,5261.5,19077.400000000023,31283.0,43744.0,7514.592761740629,5.9456428775064145
Fórmula,1126.0,5793.100000000006,19749.0,27760.0,2426.0213700990953,17.539076376554174
Memória-10,569.0,2411.0,18437.0,21066.0,1314.013735458854,32.402460456942
Memória-20,440.0,1292.0,3047.5099999999948,9345.0,609.0374579922448,6.926159090909079
Memória-50,389.0,1207.0,20605.0,27386.0,1379.3444808272297,52.969151670951156
Memória-100,343.0,819.1000000000058,1309.0,2849.0,400.04949590693667,3.816326530612245
