padrao,manhattan,formula,memory10,memory20,memory50,memory100
Linear,1.1642200475786113,1.1399110753470572,3.118979099155871,3.094007688723013,2.661927344113621,2.281948626866171
Organic,1.26319437660171,1.1370966339935933,3.5114813195850427,2.446801383703854,1.5071556250174123,1.2608618347423974
Radial,1.1275846501961235,1.1057671751985172,2.2474805287077047,1.6670593296286051,1.1708657315619002,1.1110840837439993
Sparse,1.367357516116943,1.1945291564792395,3.0995773948909093,2.048665765462615,1.377568825622636,1.2629300823851097
Stochastic,2.4740182933496158,1.8361225591186157,3.111024137046411,2.7801529109985617,2.077808719623288,1.930099098599704
