tipo_degradacao,sobreviventes,total,taxa_global,descartados,taxa_media_por_mapa,dp_entre_mapas
Linear,869,116050,0.007488151658767772,115181,0.01239664208752013,0.018919451925960645
Organic,5444,116050,0.04691081430417923,110606,0.06815589094850527,0.08116473193593744
Radial,11086,116050,0.09552778974579923,104964,0.12343632054064531,0.10929465165001839
Sparse,4996,116050,0.04305040930633348,111054,0.06135690551734031,0.07124982883090003
Stochastic,12448,116050,0.10726411029728565,103602,0.14519397271666676,0.13998428031661295
