padrao,n,mediana,media,p90,razao_vs_todos
Linear,869,5.0,8.242807825086306,18.200000000000045,0.02226948041140747
Organic,5444,37.0,55.801983835415136,128.0,0.15075945142848723
Radial,11086,70.0,112.03256359372182,270.0,0.30267683456080413
Sparse,4996,44.0,63.92133706965573,152.0,0.17269539627156935
Stochastic,12448,111.0,155.78108933161954,363.0,0.42087162420311486
TODOS os pares,116050,328.0,370.13920723825936,746.0,1.0
