,0
ótimo (ρ=1),0.18481961984397224
ρ > 1.01,0.7979828455670014
ρ > 1.05,0.6297142364553252
ρ > 1.10,0.44937718201801646
ρ > 1.25,0.14637300116374294
ρ > 1.50,0.015775182104219646
ρ > 2.00,0.001163742942114564
