,sum_sq,df,F,PR(>F),eta2_parcial,eta2_total
C(estrategia),404.9184226712955,5.0,465.86372237296837,0.0,0.25598824606796183,0.16986180577399781
C(padrao),273.52312175441824,4.0,393.36472645203816,3.9060425078862253e-305,0.18858592384422446,0.11474195487485327
C(nivel),197.51131414110446,2.0,568.0981085617719,8.362889244166325e-229,0.1437095900380927,0.08285527800753649
C(mapa),46.486133419335765,16.0,16.71339980238306,1.3767225823041715e-46,0.03799895554797465,0.01950076391675898
C(estrategia):C(padrao),164.47470206206913,20.0,47.307551749146576,5.112093464764283e-175,0.12261955872731622,0.06899653938216295
C(estrategia):C(nivel),40.668641066599754,10.0,23.39489073644389,8.055323524110067e-44,0.033402429180836656,0.017060347030826532
C(padrao):C(nivel),43.16308116346428,8.0,31.037291300619245,3.2807175145244345e-48,0.035378708444077665,0.018106755580117047
C(estrategia):C(padrao):C(nivel),36.19868367032367,40.0,5.205879930211319,3.735554344978139e-24,0.029840667636389557,0.015185216158649206
Residual,1176.8667916537188,6770.0,,,0.5,0.4936913392750976
