padrao,Manhattan,Manhattan_dp,Fórmula,Fórmula_dp,Memória-10,Memória-10_dp,Memória-20,Memória-20_dp,Memória-50,Memória-50_dp,Memória-100,Memória-100_dp
Linear,1.8315238335096389,0.6452337483563371,1.8392651255449841,0.7403909760716645,5.017195982179292,1.2115642146769119,4.686025539495092,0.64390463606759,4.050168785897592,0.5033957493882032,3.264881041812031,0.33956101279919604
Organic,2.0000369521045878,0.19919687071363124,1.4154953890505575,0.1131271575196891,6.328709528616572,0.6530240485645192,4.314113364705469,0.8021692445654787,2.0976200298750696,0.1454754021948629,1.4718553699361059,0.053865831186480556
Radial,1.765242155570413,0.08720652370106456,1.5605989813048422,0.12382886426007005,4.263946156172551,0.4482678627626803,2.584379512018207,0.2492854391164507,1.3828153728226762,0.08830711290117894,1.1777910436628753,0.013166308510393916
Sparse,2.2035458889386286,0.2920515491237124,1.4878583178945726,0.17220394979381637,5.80841310833033,1.0187606897443084,3.1087467886915148,0.20861095562676196,1.7939720651364373,0.07226796186877506,1.440222720850681,0.045816103479640456
Stochastic,4.253799029144864,0.47128971074244635,2.5369706454571985,0.3207486142144351,5.176445105615868,0.36923002893391543,4.059600686119069,0.3707147168450752,2.6739266680016938,0.10678127029879204,2.2202355498158695,0.07901586829078837
