mapa,Fórmula,Memória-10,Memória-20,Memória-50,Memória-100,categoria
arena,1.0704362467073356,1.0119792401147816,1.0255278609113148,1.045307250755487,1.0601380621524021,Arena
arena2,3.347302347421968,4.886381904992858,6.6345651762484845,8.343302997018897,8.77714828676739,Arena
brc000d,3.0237644566730606,3.454082990329547,4.1407147245008105,4.896217042136777,5.2111195167718485,Área aberta
brc100d,2.703054024761972,7.354577971240587,9.260717376613343,11.205918359881656,11.829721449205174,Área aberta
brc101d,5.793333367563733,5.307957381303531,6.187842890463568,7.85972284001905,8.56633438296414,Área aberta
brc201d,2.5290634035536326,6.318115273249549,6.855243131492256,7.975409770055106,8.254928026028635,Área aberta
brc202d,2.4828205850620577,6.4310571018543605,8.500849614429361,11.208092122018206,12.254123971973426,Área aberta
brc203d,4.68152274615552,4.248059870655963,5.380811433787357,7.148115838845747,7.877987691953391,Área aberta
den000d,3.8511205135092546,6.081223604089918,8.353724493017646,11.923874885751944,13.235034837826605,Dungeon
den005d,2.7985740129863985,4.780384241030755,7.30540754070124,9.03752542364652,10.300683314089078,Dungeon
den011d,2.444322575495155,4.124806596285192,4.806649492681155,5.853682745817432,6.190708170188976,Dungeon
den012d,2.436401364767427,4.059559596232099,4.95588508431206,5.81993811837063,6.0777796178807,Dungeon
den500d,2.1379310044930295,4.120747947976391,6.46678690108086,8.336545482214298,9.468074690363316,Dungeon
den501d,2.507207377195523,4.952685988691596,6.748109552990152,8.480237274643564,9.065150975007137,Dungeon
den602d,4.445679375167218,7.156222396289296,8.781992446576668,10.312729028484647,11.012443198591372,Dungeon
hrt201n,2.139555027507354,4.483750133522617,5.985246871364862,7.797273930287925,8.457649870927016,Natureza
lak506d,2.4322529444344254,7.1674190882603455,8.557744648300961,10.008515596906035,10.53318082031565,Natureza
