config,p99_todas,p99_sem_colapso,celulas_removidas
Manhattan,0.8732858878666898,0.8732858878666898,0
Fórmula,0.5177855387401371,0.5177855387401371,0
Memória-10,1.0,0.3394082812861438,2
Memória-20,0.2608695652173913,0.2608695652173913,0
Memória-50,1.0,0.16666666666666666,5
Memória-100,0.1282051282051282,0.1282051282051282,0
