config,exp_media_agrupada,speedup_aritmetico,speedup_geometrico,ic95_lo,ic95_hi,geom_com_degeneradas,relatorio,erro_relatorio_x
Manhattan,7514.592761740629,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fórmula,2426.0213700990953,3.097496524292233,2.798892109684768,2.319093700787544,3.3015494204644766,2.798892109684768,3.1,1.1075810994190645
Memória-10,866.5267721462412,8.672083775470947,4.696318781018802,3.301175551710513,5.428033435973526,4.371537927949409,17.25,3.6730896696620428
Memória-20,609.0374579922448,12.338473870742309,5.944326801690379,3.935370593429861,6.948484636993851,5.944326801690379,30.78,5.178046400686978
Memória-50,441.1651554404145,17.033513796525526,7.323947013893134,4.638746930124341,8.687319992837,5.920750009913424,33.5,4.574036368156719
Memória-100,400.04949590693667,18.78415755706575,7.866443574435678,4.916367568919184,9.386269325891853,7.866443574435678,51.98,6.607814510857778
