config,media,mediana,IQR,p90,p95,p99,max,razao_p99_mediana
Manhattan,0.3450017470344892,0.32312930569553,0.4216819224527003,0.7049802146747707,0.7875668999588308,0.8732858878666898,1.0,2.7025895592693385
Fórmula,0.11887648313018717,0.07066181233436947,0.12871196774671328,0.2857142857142857,0.3804510574583567,0.5177855387401371,1.625,7.327657211649091
Memória-10,0.09189365362626785,0.038505568029038956,0.049601330547740186,0.14236396514877528,0.2918552036199095,1.0,1.0,25.97027004629176
Memória-20,0.04226389450257547,0.0301480372588157,0.025414406696397426,0.07102140706396579,0.09837167700785479,0.2608695652173913,1.0,8.65295352323838
Memória-50,0.09774918365832283,0.02535323913623034,0.018298544368800143,0.06642260088730798,1.0,1.0,1.0,39.44269190325973
Memória-100,0.028989968748911587,0.02329497614369913,0.0136944525857337,0.042228793199038994,0.04958906849280422,0.1282051282051282,1.0,5.503552672227371
