mapa,Linear,Organic,Radial,Sparse,Stochastic,|S|
arena,8.461538461538462,36.92307692307693,42.92307692307692,32.30769230769231,44.769230769230774,2054
arena2,1.032967032967033,5.6923076923076925,13.384615384615383,5.384615384615386,28.68131868131868,24311
brc000d,1.011764705882353,11.83529411764706,31.01176470588235,7.976470588235293,35.71764705882353,28963
brc100d,0.6617647058823529,6.749999999999999,11.411764705882351,5.397058823529412,10.76470588235294,31023
brc101d,0.7133757961783439,4.318471337579618,8.076433121019107,5.452229299363057,11.694267515923569,29882
brc201d,0.5550239234449761,3.2822966507177034,6.717703349282296,2.7464114832535884,4.765550239234449,25645
brc202d,0.40784313725490196,3.8666666666666667,6.862745098039216,3.0196078431372553,4.525490196078431,43151
brc203d,0.9612403100775194,3.8914728682170536,6.310077519379845,3.488372093023256,5.395348837209301,20712
den000d,0.6717557251908398,6.412213740458014,22.076335877862597,6.076335877862595,27.6030534351145,58085
den005d,0.7866666666666666,3.386666666666667,5.8933333333333335,3.2800000000000002,3.44,17559
den011d,1.3333333333333333,5.2,8.666666666666668,4.213333333333334,9.866666666666667,14506
den012d,1.0677966101694918,5.525423728813559,9.152542372881356,5.322033898305084,34.37288135593221,22682
den500d,0.575,3.675,6.2250000000000005,4.1,6.775,30072
den501d,0.8376068376068375,5.333333333333333,11.008547008547009,4.290598290598291,7.264957264957264,26453
den602d,0.3383458646616541,2.593984962406015,5.7293233082706765,2.2255639097744364,2.5037593984962405,34617
hrt201n,0.847457627118644,3.593220338983051,8.64406779661017,5.1525423728813555,4.203389830508474,23652
lak506d,0.8108108108108109,3.585585585585586,5.747747747747748,3.873873873873874,4.486486486486487,13894
