tipo_degradacao,Manhattan,Fórmula,Memória-10,Memória-20,Memória-50,Memória-100
Linear,1.1592833916059901,1.135355240701256,3.1429787566900704,3.125123631344568,2.699110620350911,2.304527773683216
Organic,1.2462549701452303,1.1222507780732083,3.4295990127031195,2.392032283483471,1.5215075587313804,1.2598774339048775
Radial,1.1436115968872054,1.0910718564929915,2.340200191986718,1.6967766486593538,1.2004599481597333,1.112901862036254
Sparse,1.3747349029698237,1.19291890417285,3.1104695109354314,2.036758619114204,1.3836527755478556,1.2583737972316984
Stochastic,2.5064717114836252,1.7679746344556013,3.2809079986976997,2.905996580489486,2.1162619656266677,1.9240859718704078
