par,n_inst,p_instancia,cliff,magnitude,razao_geom,ic_lo,ic_hi,n_mapas,p_mapa,p_inst_holm,p_mapa_holm
Manhattan vs Fórmula,116050,0.0,0.5502910020547458,grande,2.7988921096847683,2.3190937007875445,3.301549420464478,17,1.52587890625e-05,0.0,6.103515625e-05
Manhattan vs Memória-100,116050,0.0,0.8679391937057839,grande,7.866443574435678,4.9163675689191795,9.38626932589185,17,1.52587890625e-05,0.0,6.103515625e-05
Fórmula vs Memória-10,111870,0.0,0.3330347872861821,médio,1.6779206189365174,1.4051136737453562,1.9775864731305377,17,0.000213623046875,0.0,0.000213623046875
Fórmula vs Memória-100,116050,0.0,0.6650862854023201,grande,2.810556200868226,2.2161639173376737,3.380821511108054,17,3.0517578125e-05,0.0,6.103515625e-05
