mapa,S,grade,densidade,teorico_10,real_10,teorico_20,real_20,teorico_50,real_50,teorico_100,real_100
arena,2054.0,2401.0,0.8554768846314036,0.0783538818359375,0.09159088134765625,0.156707763671875,0.1831817626953125,0.3917694091796875,0.45795440673828125,0.783538818359375,0.9159088134765625
arena2,24311.0,58729.0,0.41395222121949976,0.9273910522460938,2.2403335571289062,1.8547821044921875,4.4806671142578125,4.636955261230469,11.201667785644531,9.273910522460938,22.403335571289062
brc000d,28963.0,67077.0,0.4317873488677192,1.1048507690429688,2.5587844848632812,2.2097015380859375,5.1175689697265625,5.524253845214844,12.793922424316406,11.048507690429688,25.587844848632812
brc100d,31023.0,251904.0,0.12315405868902439,1.1834335327148438,9.609375,2.3668670654296875,19.21875,5.917167663574219,48.046875,11.834335327148438,96.09375
brc101d,29882.0,245376.0,0.12178045122587376,1.1399078369140625,9.3603515625,2.279815673828125,18.720703125,5.6995391845703125,46.8017578125,11.399078369140625,93.603515625
brc201d,25645.0,151708.0,0.16904184354154034,0.9782791137695312,5.787200927734375,1.9565582275390625,11.57440185546875,4.891395568847656,28.936004638671875,9.782791137695312,57.87200927734375
brc202d,43151.0,254930.0,0.16926607303965793,1.6460800170898438,9.724807739257812,3.2921600341796875,19.449615478515625,8.230400085449219,48.62403869628906,16.460800170898438,97.24807739257812
brc203d,20712.0,107134.0,0.19332798177982713,0.79010009765625,4.0868377685546875,1.5802001953125,8.173675537109375,3.95050048828125,20.434188842773438,7.9010009765625,40.868377685546875
den000d,58085.0,176553.0,0.3289946928117902,2.2157669067382812,6.734962463378906,4.4315338134765625,13.469924926757812,11.078834533691406,33.67481231689453,22.157669067382812,67.34962463378906
den005d,17559.0,79048.0,0.2221308572006882,0.6698226928710938,3.01544189453125,1.3396453857421875,6.0308837890625,3.3491134643554688,15.07720947265625,6.6982269287109375,30.1544189453125
den011d,14506.0,41249.0,0.35166913137288175,0.5533599853515625,1.5735244750976562,1.106719970703125,3.1470489501953125,2.7667999267578125,7.867622375488281,5.533599853515625,15.735244750976562
den012d,22682.0,108500.0,0.20905069124423964,0.8652496337890625,4.138946533203125,1.730499267578125,8.27789306640625,4.3262481689453125,20.694732666015625,8.652496337890625,41.38946533203125
den500d,30072.0,120096.0,0.25039968025579534,1.14715576171875,4.581298828125,2.2943115234375,9.16259765625,5.73577880859375,22.906494140625,11.4715576171875,45.81298828125
den501d,26453.0,108160.0,0.2445728550295858,1.0091018676757812,4.1259765625,2.0182037353515625,8.251953125,5.045509338378906,20.6298828125,10.091018676757812,41.259765625
den602d,34617.0,285420.0,0.12128442295564432,1.3205337524414062,10.887908935546875,2.6410675048828125,21.77581787109375,6.602668762207031,54.439544677734375,13.205337524414062,108.87908935546875
hrt201n,23652.0,89670.0,0.2637671462027434,0.902252197265625,3.4206390380859375,1.80450439453125,6.841278076171875,4.511260986328125,17.103195190429688,9.02252197265625,34.206390380859375
lak506d,13894.0,39770.0,0.3493588131757606,0.5300140380859375,1.5171051025390625,1.060028076171875,3.034210205078125,2.6500701904296875,7.5855255126953125,5.300140380859375,15.171051025390625
