categoria,n,media,mediana,p95,p99,max,frac_otimo,frac_acima_1_1
Arena,5200,1.13622075,1.07843,1.398441500000002,1.73333,2.54217,0.28846153846153844,0.4528846153846154
Dungeon,50830,1.1436552350973834,1.1118,1.39124,1.64671,4.19283,0.16938815660043283,0.540133779264214
Natureza,11450,1.1135920131004367,1.08753,1.33803,1.474327800000002,1.82869,0.1777292576419214,0.45458515283842793
Área aberta,48525,1.1012991808346213,1.06148,1.33645,1.49431,2.42857,0.1915507470376095,0.3527047913446677
