,posto_estatico,posto_degradado,variacao
Manhattan,5.9411764705882355,2.4705882352941178,-3.4705882352941178
Fórmula,4.470588235294118,1.3529411764705883,-3.1176470588235294
Memória-10,4.117647058823529,5.882352941176471,1.764705882352942
Memória-20,2.9411764705882355,4.9411764705882355,2.0
Memória-50,2.4705882352941178,3.5294117647058822,1.0588235294117645
Memória-100,1.0588235294117647,2.823529411764706,1.7647058823529413
